LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Fairfield,1/10/2020,840,20,75,93.12270588,49,9.4118,90.245902,-7.61,,31027,1239.882471
Georges River,1/10/2020,1302,21,70,108.6134217,295,13.494,92.953125,-0.95,,141083,2142.416217
Hornsby,1/10/2020,1466,20,89,145.6325352,309,25.8216,93.6,-4.27,,276760,2810.885376
Hunters Hill,1/10/2020,1100,30,190,269.5098039,51,5.8824,95.454545,2,,6264,5783.392157
Inner West,1/10/2020,9021,16,100,159.195969,1878,14.115,93.57721,-1.7,,995372,3478.659482
Lane Cove,1/10/2020,2078,25,104.5,203.3528808,227,12.2517,92.383085,0.33,,53406,4186.055762
Liverpool,1/10/2020,9999,24,85,191.6257252,105,21.374,92.569767,-4.38,,71570,3936.787328
Mosman,1/10/2020,4000,30,215,413.2567347,338,9.5918,94.57947,-2.78,,11274,9024.526102
North Sydney,1/10/2020,14589,26,130,208.4743323,961,14.9444,94.218821,-1.87,,358878,4331.02814
Northern Beaches,1/10/2020,10000,15,195.5,346.2937903,3909,15.8016,95.103427,-1.22,,6350256,7723.592076
Parramatta,1/10/2020,3000,20,80,105.7095717,394,13.0354,90.148936,-0.37,,364450,1655.96162
Penrith,1/10/2020,2084,24,100,179.9767296,106,32.0755,95.307018,-4.22,,66875,3256.933899
Randwick,1/10/2020,10000,15,106,189.2541526,2468,9.6429,92.454829,-2,,1106640,4243.020247
Ryde,1/10/2020,829,16,80,100.8276451,460,13.6519,92.898515,-1.68,,149942,1978.336519
Strathfield,1/10/2020,4567,20,70,127.1568557,145,16.4948,88.456,-2.51,,6584,1447.824227
Sutherland Shire,1/10/2020,1500,22,135,209.9991519,448,26.8245,95.617801,-0.59,,435871,4527.985858
Sydney,1/10/2020,14315,11,115,166.0182182,5774,13.8652,92.683355,-1.6,,4647050,3531.308861
The Hills Shire,1/10/2020,9999,25,75,196.7821338,242,18.7898,92.709524,-1.26,,54285,2456.333854
Waverley,1/10/2020,10000,5,150,233.4664071,3968,9.1501,94.07101,-1.35,,1303071,5586.348724
Willoughby,1/10/2020,14568,24,101,212.426572,371,10.7505,92.030864,-1.6,,97410,4996.689655
Woollahra,1/10/2020,28613,20,150,341.6435188,1198,9.0403,93.722826,-2.24,,236418,7400.159854
Bayside,1/11/2020,2904,14,78,112.5416385,1115,13.3378,92.329361,-2.38,,838140,2083.918077
Blacktown,1/11/2020,2000,18,61,92.80701754,221,11.9298,91.059172,1.42,,187495,1227.364912
Burwood,1/11/2020,530,15,69.5,91.42125984,153,7.0866,89.736196,-4.15,,23328,1248.625984
Camden,1/11/2020,425,35,100,122.6792453,42,30.1887,94.882353,0,,21025,1801.018868
Campbelltown,1/11/2020,660,25,78,120.7474747,68,26.2626,90.428571,3.13,,55965,1426.050505
Canada Bay,1/11/2020,1100,21,100,141.172043,322,8.6022,93.70339,-6.06,,131886,2887.44086
Canterbury-Bankstown,1/11/2020,900,13,70,95.35532995,465,13.3672,91.065395,-3.43,,357006,1391.353638
Cumberland,1/11/2020,15000,15,85,173.7334755,358,13.4328,91.958861,0.21,,131745,3909.452026
Fairfield,1/11/2020,840,20,69.5,92.03658537,52,10.9756,92.415094,-3.53,,28152,1146.743902
Georges River,1/11/2020,1564,21,70,107.4868735,302,15.0358,92.408397,0.96,,132498,1984.066826
Hornsby,1/11/2020,1466,20,89,151.5338164,305,26.57,93.639241,-2.82,,243406,2774.289855
Hunters Hill,1/11/2020,1000,30,167.5,240.58,50,8,95.382353,-1.96,,5676,4390.52
Inner West,1/11/2020,9021,17,100,156.7395926,1874,13.5075,93.535354,-0.09,,966454,3331.626661
Lane Cove,1/11/2020,2750,25,108.5,214.6081081,227,13.1757,92.061538,-1.99,,49437,4290.675676
